autor,autor,autor,autor,autor,autor,autor,per,ano
"SOUZA, Cleonice Aparecida de","GUIMARAES, Maria de Fátima",,,,,,Linha Mestra (Associação de Leitura do Brasil),2014
"PEREIRA, Antônio Pereira ","FUJINO, Asa",,,,,,Em Questão,2014
"PEREIRA, Antônio Pereira ","FUJINO, Asa","SILVEIRA, Marco Antônio",,,,,Journal of Technology Management & Innovation,2013
"PADUA, Elisabete Matallo Marchesi de ","GOMES, Lúcia Maria Quintes Ducasble","FREITAS, Maria Luisa de Lara Uzun de","SPLENDOR, Solimar Maria Ganzarolli",,,,Série Acadêmica (PUCAMP),2012
"MEIRELLES, Juliana Gesuelli ",,,,,,,RESGATE - Revista Interdisciplinar de Cultura,2015
"MEIRELLES, Juliana Gesuelli ",,,,,,,Acervo,2013
"MEIRELLES, Juliana Gesuelli ",,,,,,,Mnemonise Revista,2015
"MEIRELLES, Juliana Gesuelli ","CONCEICAO, Adriana Angelita da",,,,,,Tempo. Revista do Departamento de História da UFF,2015
"MARTINS, Marcio Souza ","LIMA, Vânia Mara Alves",,,,,,Biblios (Lima),2013
"MARIOSA, Duarcides Ferreira ","SA, Jeanete Liasch Martins de","JOAZEIRO, Edna Maria Goulart","CAMILO, Maria Virginia Righetti Fernandes","CAIO, Vânia Maria",,,Série Acadêmica (PUCAMP),2013
"MARIOSA, Duarcides Ferreira "," POLITTI, Fabiano","SA, Jeanete Liasch Martins de",,,,,Colabor@ (Curitiba),2014
"MARIOSA, Duarcides Ferreira","JOAZEIRO, Edna Maria Goulart","SA, Jeanete Liasch Martins de",,,,,Série Acadêmica (PUCAMP),2014
"MARIOSA, Duarcides Ferreira ","DOTA, Ednelson Mariano","GIGLIOTTI, Marcelo da Silva","SANTOS-SILVA, Edinaldo Nelson dos",,,,Hygeia : Revista Brasileira de Geografia Médica e da Saúde (Uberlândia),2015
"MARIOSA, Duarcides Ferreira","CAMPOS FILHO,  Celso Pedroso de","DEGASPERI, Giovanna Rosa","GOMES, Lucia Maria Quintes Ducasble","OLIVEIRA, Rosmari Aparecida Rosa Almeida de",,,Série Acadêmica (PUCAMP),2015
"MARIOSA, Duarcides Ferreira","CAMPOS FILHO,  Celso Pedroso de","DEGASPERI, Giovanna Rosa","GOMES, Lucia Maria Quintes Ducasble","OLIVEIRA, Rosmari Aparecida Rosa Almeida de",,,Série Acadêmica (PUCAMP),2015
"MARIOSA, Duarcides Ferreira","CAMPOS FILHO,  Celso Pedroso de","DEGASPERI, Giovanna Rosa","GOMES, Lucia Maria Quintes Ducasble","OLIVEIRA, Rosmari Aparecida Rosa Almeida de",,,Série Acadêmica (PUCAMP),2015
"MARIOSA, Duarcides Ferreira","CAMPOS FILHO,  Celso Pedroso de","DEGASPERI, Giovanna Rosa","GOMES, Lucia Maria Quintes Ducasble","OLIVEIRA, Rosmari Aparecida Rosa Almeida de",,,Série Acadêmica (PUCAMP),2015
"MARIOSA, Duarcides Ferreira","CAMPOS FILHO,  Celso Pedroso de","DEGASPERI, Giovanna Rosa","GOMES, Lucia Maria Quintes Ducasble","OLIVEIRA, Rosmari Aparecida Rosa Almeida de",,,Série Acadêmica (PUCAMP),2015
"MARIOSA, Duarcides Ferreira ","CAMILO, Maria Virginia Righetti Fernandes","SANTOS-SILVA, Edinaldo Nelsondos",,,,,Emancipação (UEPG. Impresso),2015
"JOAZEIRO, Edna Maria Goulart","MARIOSA, Duarcides Ferreira",,,,,,Serviço Social & Saúde (UNICAMP),2013
"FIDELIS, Ana Claudia Silva ",,,,,,,TEXTURA-ULBRA,2015
"SOUZA, Cleonice Aparecida de ","BATISTA, Nicolle Santos",,,,,,Revista Brasileira de Biblioteconomia e Documentação,2016
"SOUZA, Cleonice Aparecida de",,,,,,,Linha Mestra (Associação de Leitura do Brasil),2016
"MARIOSA, Duarcides Ferreira","CAMILO, Maria Virginia Righetti Fernandes","JOAZEIRO, Edna Maria Goulart","SA, JeaneteLiasch Martins de","FAURY, Mirian","CAIO, Vânia Maria","SILVA, Carla da",Série Acadêmica (PUCAMP),2016
"FERRAZ, Renato Ribeiro Nogueira  ","BARNABE, Anderson Sena ","SANTOS, André Moraes dos","QUONIAM, Luc","MARIOSA, Duarcides Ferreira",,,Ciência e Saúde Coletiva (Impresso),2016
"MARIOSA, Duarcides Ferreira","FERRAZ, Renato Ribeiro Nogueira","SANTOS-SILVA, Nelson dos ",,,,,Ciência e Saúde Coletiva (Impresso),2016
"TEIXEIRA, Elton Pereira ","MARIOSA, Duarcides Ferreira",,,,,,Revista Eletrônica do Mestrado em Educação Ambiental,2016
"MARIOSA, Duarcides Ferreira","DEANTONI, Victor de Barros","DEGASPERI, Giovanna Rosa","OLIVEIRA, Rosmari Aparecida Rosa Almeida de","ZUCCOLOTTO, Paulo Antonio Graça Lima","GOMES, Lúcia Maria Quintes Ducasble",,Série Acadêmica (PUCAMP),2016
"MEIRELLES, Juliana Gesuelli",,,,,,,RevistaMaracanan,2016
"CONCEIÇÃO, Adriana Angelita da","MEIRELLES, Juliana Gesuelli",,,,,,LaborHistórico,2016
