Autor,Autor,Autor,Autor,Autor,Autor,Evento,Ano
"JUNQUEIRA, João Francisco Pereira Nunes",,,,,,Seminário de Pesquisa do Programa de Pós-graduação em Estudos Literários,2015
"MATIAS, Nelson Tavares","SENA, Paulo Sérgio de","PINA, Paulo Vinícios de Omena","RIBEIRO, Rosinei Batista","CARVALHO, Natalha Gabrieli Moreira",,"Simpósio de Desenvolvimento, Tecnologia e Sociedade",2014
"PACHECO, Fabrício da Silva","MOREIRA, Ailton Leite","SANTOS, Ricardo Mendonça Neves dos","SENA, Paulo Sérgio de",,,Congresso Nacional de Meio Ambiente de Poços de Caldas,2014
"PACHECO, Fabrício da Silva","SENA, Paulo Sérgio de","MATIAS, Nelson Tavares","RIBEIRO, Rosinei Batista",,,Congresso Nacional de Meio Ambiente de Poços de Caldas,2014
"PINA, Paulo Vinícios de Omena","SENA, Paulo Sérgio de","VASCONCELOS, Fabiana Karina Dos Santos","FRASÃO, Fernanda Martineli","CORDEIRO, Paula Maria Dos Santos","RODRIGUES, Flávia Dos Santos",Congresso Nacional de Formação de Professores,2014
"SENA, Paulo Sérgio de","MATIAS, Nelson Tavares","RIBEIRO, Rosinei Batista",,,,Convención científica internacional de la universidad de matanzas,2015
"SENA, Paulo Sérgio de","PINA, Paulo Vinícios de Omena","CORDEIRO, Paula Maria Dos Santos","VASCONCELOS, Fabiana Karina Dos Santos","RODRIGUES, Flávia Dos Santos","FRASÃO, Fernanda Martineli",Congresso Nacional de Formação de Professores,2014
"SENA, Paulo Sérgio de","RIBEIRO, Rosinei Batista","MATIAS, Nelson Tavares","SANTOS, Renan Esaú Fernandesz","VEIGA, Camila Loricchio",,"Simpósio de Desenvolvimento, Tecnologia e Sociedade",2012
"SENA, Paulo Sérgio de",,,,,,Seminário de Didática para o Ensino Superior,2011
"VASCONCELOS, Fabiana Karina Dos Santos","PINA, Paulo Vinícios de Omena","SENA, Paulo Sérgio de","FRASÃO, Fernanda Martineli","RODRIGUES, Flávia Dos Santos","CORDEIRO, Paula Maria Dos Santos",Congresso Nacional de Formação de Professores,2014
"VEIGA, Camila Loricchio","MATIAS, Nelson Tavares","RIBEIRO, Rosinei Batista","SENA, Paulo Sérgio de",,,Congresso Brasileiro de P&D em Design,2012
"JUNQUEIRA, João Francisco Pereira Nunes",,,,,,Seminário de Pesquisa do Programa de Pós-graduação em Estudos Literários,2016
"BENTO, Maria Cristina Marcelino","SENA, Paulo Sérgio de","SANTOS, Ricardo Mendonça Neves dos",,,,Congresso Nacional de Formação de Professores,2016
"JACOB, Cristiane da Silva","FREITAS, José Eduardo de","SENA, Paulo Sérgio de",,,,Encontro Latino Americano de Iniciação Científica UNIVAP,2016
"SANTOS, Matheus Henrique Silva ","SENA, Paulo Sérgio de",,,,,Encontro Latino Americano de Iniciação Científica UNIVAP,2016
"SENA, Paulo Sérgio de","ALVES, A. L. R.","BENTO, Maria Cristina Marcelino ",,,,Encontro Nacional das Licenciaturas (ENALIC),2016
"SENA, Paulo Sérgio de",,,,,,Workshop Design & Materiais,2010
"MATIUSSO, Andressa Carla","SENA, Paulo Sérgio de",,,,,Congresso Nacional de Iniciação Científica - Conic-Semesp,2010
"CHAABAN, Iucif Karin","SENA, Paulo Sérgio de",,,,,Congresso Nacional de Iniciação Científica - Conic-Semesp,2010
"LUZ, Ana Letícia Ribeiro Salles","SENA, Paulo Sérgio de",,,,,Congresso Nacional de Iniciação Científica - Conic-Semesp,2010
"SENA, Paulo Sérgio de",,,,,,Simpósio Internacional de Tecnologias Sociais,2010
