Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Editora,Ano
"CUNHA, Pedro de Almeida",,,,,,,,,,,Cabedalis,2013
"CUNHA, Pedro de Almeida",,,,,,,,,,,Cabedalis,2013
"CUNHA, Pedro de Almeida",,,,,,,,,,,Cabedalis,2013
"CUNHA, Pedro de Almeida",,,,,,,,,,,Cabedalis,2014
"CUNHA, Pedro de Almeida",,,,,,,,,,,Cabedalis,2014
"GURPILHARES, Marlene Silva Sardinha","AZEVEDO, Lucia Maria Rangel","KOSMA,  Eliana Vianna Brito",,,,,,,,,Lighthouse Editora,2015
"GURPILHARES, Marlene Silva Sardinha","OLIVEIRA, Carlos Alberto de","QUINTANA, Francisco Alcidez Candia",,,,,,,,,Instituto Santa Teresa,2011
"GURPILHARES, Marlene Silva Sardinha","OLIVEIRA, Carlos Alberto de","QUINTANA, Francisco Alcidez Candia","OLIVEIRA, Eveline Mattos Tápias","NEVES, Thabata Fonseca","AZEVEDO, Lucia Maria Rangel","GONÇALVES, Humberto Gutierrez","GURPILHARES, Giovana Gleice Gomes dos Santos",,,,GRAFIST-Gráfica&Editora Santa Teresa,2011
"GURPILHARES, Marlene Silva Sardinha",,,,,,,,,,,Lighthouse Editora,2013
"GURPILHARES, Marlene Silva Sardinha",,,,,,,,,,,Lighthouse Editora,2014
"MELLO, Adilson da Silva","PIMENTA, Carlos Alberto Máximo","MATIAS, Nelson Tavares","RIBEIRO, Rosinei Batista","SOUSA, C. M.","LOPES, J. R.","PASIN, Luiz Eugênio Veneziani","PIMENTA, M. L."," RODRIGUES, R.","NUNES, S. S.","SENA, Paulo Sérgio de",Cabral - Editora e Livraria Universitária,2013
"OLIVEIRA, Carlos Alberto de","QUINTANA, Francisco Alcidez Candia","GURPILHARES, Marlene Silva Sardinha",,,,,,,,,GRAFIST-Gráfica&Editora Santa Teresa,2012
"SIQUEIRA, Sônia Maria Gonçalves",,,,,,,,,,,Instituto Santa Teresa,2014
"SIQUEIRA, Sônia Maria Gonçalves",,,,,,,,,,,Instituto Santa Teresa,2014
"SOUZA, Adriano Jose Sorbile de","MATIAS, Nelson Tavares","SENA, Paulo Sérgio de","RIBEIRO, Rosinei Batista",,,,,,,,Instituto Santa Teresa,2014
"GURPILHARES, Marlene Silva Sardinha",,,,,,,,,,,Editora Casa,2016
