Autor,Autor,Autor,Autor,Autor,Editora,Ano
"ZAFALON, Zaira Regina ",,,,,Ed. UNESP,2014
"BENTES, José Anchieta de Oliveira  ","HAYASHI, Maria Cristina Piumbato Innocentini",,,,EDUEPB,2012
"BITTAR, Marisa ","HAYASHI, Carlos Roberto Massao","OLIVEIRA, Rosa Maria Moraes Anunciato de","FERREIRA JR, Amarílio",,EDUFSCar,2012
"BOCCATO, Vera Regina Casari  ","GRACIOSO, Luciana de Souza",,,,Átomo & Alínea,2011
"COSTA, Luzia Sigoli Fernandes ","GRACIOSO, Luciana de Souza","CURILLA, Rosemeire Aparecida Trebi","SEVERO, Cristine Gorski","SOUZA, Ligia Maria Silva e",Compacta,2013
"FERREIRA JR, Amarílio","HAYASHI, Carlos Roberto Massao","LOMBARDI, José Claudinei",,,Editora Alínea,2012
"GRACIOSO, Luciana de Souza","SALDANHA, Gustavo Silva",,,,Junqueira e Marin,2012
"GRACIOSO, Luciana de Souza","SALDANHA, Gustavo Silva",,,,Junqueira e Marin,2011
"HAYASHI, Maria Cristina Piumbato Innocentini ","HAYASHI, Carlos Roberto Massao","FARIA, Leandro Innocentini Lopes de",,,Pedro & João Editores,2013
"HAYASHI, Maria Cristina Piumbato Innocentini","LETA, Jacqueline ",,,,Pedro & João Editores,2013
"HAYASHI, Maria Cristina Piumbato Innocentini","MUGNAINI, Rogério","HAYASHI, Carlos Roberto Massao",,,Pedro & João Editores,2013
"HAYASHI, Maria Cristina Piumbato Innocentini","RIGOLIN, Camila Carneiro Dias","BARBOSA, Henrianne",,,Editora Alínea,2015
"HAYASHI, Maria Cristina Piumbato Innocentini","RIGOLIN, Camila Carneiro Dias","BARBOSA, Henrianne",,,Editora Alínea,2015
"HAYASHI, Maria Cristina Piumbato Innocentini","RIGOLIN, Camila Carneiro Dias","KERBAUY, Maria Teresa Miceli",,,Editora Alínea,2014
"HAYASHI, Maria Cristina Piumbato Innocentini","SOUSA, Cidoval Morais de ","ROTHBERG, Danilo",,,EDUEPB,2011
"HAYASHI, Maria Cristina Piumbato Innocentini",,,,,Editora Alínea,2015
"HOFFMANN, Wanda Aparecida Machado","GRACIOSO, Luciana de Souza","AMARAL, Roniberto Morato do","FARIA, Leandro Innocentini Lopes de",,Pedro & João Editores,2011
"HOFFMANN, Wanda Aparecida Machado","GRACIOSO, Luciana de Souza","AMARAL, Roniberto Morato do","FARIA, Leandro Innocentini Lopes de",,Pedro & João Editores,2012
"HOFFMANN, Wanda Aparecida Machado","MIOTELLO, Valdemir","PEDRO, Wilson José Alves",,,Pedro & João Editores,2012
"HOFFMANN, Wanda Aparecida Machado","MIOTELLO, Valdemir",,,,Pedro & João Editores,2013
"HOFFMANN, Wanda Aparecida Machado",,,,,EDUFSCar,2011
"HOFFMANN, Wanda Aparecida Machado",,,,,EDUFSCar,2012
"HOFFMANN, Wanda Aparecida Machado",,,,,Pedro & João Editores,2014
"HOFFMANN, Wanda Aparecida Machado",,,,,Pedro & João Editores,2015
"HOFFMANN, Wanda Aparecida Machado",,,,,EDUFSCar,2013
"JUGEND, Daniel","BARBALHO, Sanderson César Macedo","SILVA, Sergio Luis da",,,Elsevier,2014
"JUGEND, Daniel","SILVA, Sergio Luis da",,,,LTC - GEN,2013
"KERBAUY, Maria Teresa Miceli","HAYASHI, Carlos Roberto Massao","ANDRADE, Thales Haddad Novaes de",,,Editora Alínea,2012
"PAULUCCI, Martha Regina Bortolato Cardoso","HOFFMANN, Wanda Aparecida Machado",,,,Novas Edições Acadêmicas,2015
"RAMALHO, Rogério Aparecido Sá",,,,,EDUFSCar,2015
"SOUSA, Lucília Maria Abrahão ","GRACIOSO, Luciana de Souza","FUJITA, Mariângela Spotti Lopes",,,Cultura acadêmica,2014
"FERRAZ, Maria Cristina Comunian",,,,,EDUFSCar,2010
"GRACIOSO, Luciana de Souza","FERREIRA, Suelen Camilo","SILVA, Marco Donizete Paulino da",,,Junqueira e Marin,2016
"GRACIOSO, Luciana de Souza","SALDANHA, Gustavo Silva",,,,Junqueira e Marin,2010
"HOFFMANN, Wanda Aparecida Machado",,,,,Pedro & João Editores,2016
"HOFFMANN, Wanda Aparecida Machado","MIOTELLO, Valdemir","PEDRO, Wilson José Alves",,,Pedro & João Editores,2016
"MIOTELLO, Valdemir","HOFFMANN, Wanda Aparecida Machado",,,,Pedro & João Editores,2010
"STANGE, Simone Morae","SILVEIRA, Rosemari Monteiro Castilho Foggiatto","STIIRMER, Júlio César","HAYASHI, Carlos Roberto Massao",,Pedro & João Editores,2016
